track,date,url
WRD,04/18/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WRD&CTRY=USA&DT=04/18/2022&DAY=D&STYLE=EQB
FAN,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FAN&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
IND,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=IND&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
MNR,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=MNR&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
PRX,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=PRX&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
TUP,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=TUP&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
WRD,04/19/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=WRD&CTRY=USA&DT=04/19/2022&DAY=D&STYLE=EQB
AQU,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=AQU&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
CMR,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CMR&CTRY=PR&DT=04/02/2022&DAY=D&STYLE=EQB
CAM,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CAM&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
FON,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=FON&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
GG,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GG&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
GP,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=GP&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
HAW,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=HAW&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
CT,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=CT&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
LRL,04/02/2022,https://www.equibase.com/premium/eqbPDFChartPlus.cfm?RACE=A&BorP=P&TID=LRL&CTRY=USA&DT=04/02/2022&DAY=D&STYLE=EQB
